Name,SalePrice,DateOfSale,Year,Mileage,Classification,Transmission,FuelType,Description,SaleLocation
mercedes-benz e class (e220 cdi),13090.00,29/03/2024,2013,66215,convertible,automatic,diesel,grey mercedes-benz e class. 2.1 e220 cdi se cabriolet g-tronic+ euro 5 (s/s) 2dr. 4 previous owners,meath
mercedes-benz clc class (clc180k),4956.00,30/03/2024,2010,76341,hatchback,manual,petrol,mercedes-benz clc class. 1.8 clc180k sport coupe euro 4 3dr,limerick
mercedes-benz gla class (gla220d),19770.00,31/03/2024,2017,54917,suv,automatic,diesel,mercedes-benz gla diesel hatchback. gla 220d 4matic amg line 5dr auto [premium] 2.1. 2 previous owners,dublin
mercedes-benz m class (sport),8003.00,2024-03-31,2009,77482,s.u.v.,automatic,diesel,navy mercedes-benz m class. 3.0 ml320 cdi v6 sport suv 5dr diesel tiptronic 4wd euro 4 (224 ps). 4 previous owners,dublin
mercedes-benz slk (slk250 cdi),10160.00,31/03/2024,2014,96142,convertible,automatic,diesel,silver mercedes-benz slk. 2.1 slk250 cdi blueefficiency amg sport 2dr 204 bhp *** sat nav - full leather ***,dublin
mercedes-benz e class (blueefficiency),8197.00,02/04/2024,2013,95816,coupe,automatic,diesel,mercedes-benz e class. 2.1 e220 cdi blueefficiency sport g-tronic 2dr. 5 previous owners,dublin
mercedes-benz a class (a160),6765.00,02/04/2024,2011,49878,hatchback,automatic,petrol,black mercedes-benz a class. 1.5 a160 avantgarde se cvt 5dr. 1 previous owner,donegal
mercedes-benz e class (se),27187.00,02/04/2024,2018,28399,saloon,automatic,diesel,silver mercedes-benz e class. 2.0 e220d se g-tronic+ euro 6 (s/s) 4dr. 2 previous owners,donegal
mercedes-benz gla class (gla200d),20249.00,04/04/2024,2018,38055,s.u.v.,automatic,diesel,black mercedes-benz gla class. 2.1 gla200d sport (premium) suv 5dr diesel 7g-dct euro 6 (s/s) (136 ps). 1 previous owner,waterford
mercedes-benz e class (e250),11139.00,04/04/2024,2011,55020,estate,automatic,petrol,navy mercedes-benz e class. 1.8 e250 blueefficiency sport g-tronic+ 5dr,dublin
mercedes-benz a class (se),10165.00,05/04/2024,2016,36335,hatchback,automatic,petrol,red mercedes-benz a class. 1.6 a160 se (executive) hatchback 5dr petrol 7g-dct euro 6 (s/s) (102 ps). 4 previous owners,kerry
mercedes-benz a class (a180d),13198.00,05/04/2024,2016,54816,hatchback,manual,diesel,red mercedes-benz a class. a180d sport premium 5dr 1.5,leitrim
mercedes-benz gla class (urban edition),24081.00,05/04/2024,2019,24813,suv,automatic,petrol,red mercedes-benz gla-class. 1.6 gla 180 urban edition 5d 121 bhp. 2 previous owners,dublin
mercedes-benz slk (amg sport),11189,05/04/2024,2012,75055,convertible,automatic,petrol,silver mercedes-benz slk. 1.8 slk200 blueefficiency amg sport 2d 184 bhp stunning car inside and out,dublin
mercedes-benz gla class (gla220 cdi),14198.00,06/04/2024,2015,88263,suv,automatic,diesel,mercedes-benz gla class. 2.1 gla220 cdi sport 7g-dct 4matic euro 6 (s/s) 5dr. 4 previous owners,meath
mercedes-benz e class (e220d),21480.00,2024-04-07,2018,87205,saloon,automatic,diesel,red mercedes-benz e-class. 2.0 e 220 d se premium 4d 192 bhp,kildare
mercedes-benz c class (amg line),20667.00,07/04/2024,2016,50661,coupe,auto,diesel,black mercedes-benz c class. 2.1 c220d amg line g-tronic+ euro 6 (s/s) 2dr,cork
